"operation_id,client_id,transaction_type,amount,currency,operation_date,operation_time,description,balance_after_transaction,channel"
"081504855,129575,payment,3904.39,UAH,3/6/2025,4:23 PM,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,767699.41,online"
"101113676,446150,withdrawal,8478.51,CNY,1/13/2024,10:14 PM,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,40038.38,ATM"
"063109430,419113,payment,6138.29,SAR,9/17/2025,12:57 AM,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,870072.93,online"
"021100329,163225,deposit,6866.19,XOF,9/8/2024,3:30 AM,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,136034.13,ATM"
"122240861,67797,deposit,3298.57,THB,2/21/2025,9:18 AM,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,986808.59,branch"
"041215016,351927,deposit,3331.25,EUR,2/3/2024,1:58 AM,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,516222.25,ATM"
"063115961,58436,payment,8138.07,KES,1/16/2024,3:20 AM,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,483816.63,ATM"
"111311743,251269,deposit,6125.95,RUB,12/15/2024,12:23 PM,vulputate elementum nullam varius nulla facilisi cras non velit nec,221449.03,online"
"067092035,816033,deposit,7411.54,SEK,11/30/2025,8:24 PM,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,376777.23,online"
"063104215,876292,withdrawal,7955.83,EUR,9/14/2024,2:47 AM,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,158863.14,branch"
"021308781,239054,payment,7445.74,HTG,4/2/2025,5:05 PM,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,995200.87,ATM"
"103101165,244094,payment,9457.97,PHP,2/6/2024,3:09 AM,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,506447.37,branch"
"063108732,114024,withdrawal,7091.92,MXN,3/22/2024,9:11 AM,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,594884.33,branch"
"064101385,873052,transfer,7013.68,SEK,2/19/2024,2:35 PM,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,511743.04,branch"
"125108492,424128,deposit,6860.69,IDR,6/17/2024,3:12 PM,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,890513.37,ATM"
"123103570,887046,payment,659.59,BRL,9/16/2025,11:29 AM,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,866279.7,ATM"
"081917662,781395,deposit,424.52,IDR,2/22/2025,5:49 AM,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,607600.4,ATM"
"104100945,383556,withdrawal,6605.04,CNY,4/24/2024,7:03 PM,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,716345.45,ATM"
"101102182,14563,transfer,1308.67,IDR,12/5/2025,7:19 AM,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,344283.42,ATM"
"073000176,710679,payment,3572.62,VEF,1/9/2025,5:22 AM,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,842210.69,online"
"011303110,331614,deposit,2724.3,PHP,10/1/2025,11:09 AM,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,994084.25,branch"
"081517907,383619,payment,1384.47,UAH,5/3/2025,3:10 AM,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,177018.22,online"
"071925923,122732,deposit,2023.55,PHP,9/4/2024,4:06 PM,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,349966.26,ATM"
"123271978,166310,deposit,842.47,THB,8/8/2025,8:37 AM,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,899048.07,ATM"
"091405229,130472,payment,5921.36,PLN,1/4/2025,9:26 AM,proin leo odio porttitor id consequat in consequat ut nulla,509016.38,online"
"274970843,430941,payment,6781.66,COP,4/22/2024,9:33 AM,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,411719.74,branch"
"072402652,567736,withdrawal,4797.55,AZN,7/17/2024,5:52 AM,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,368029.42,ATM"
"056005363,523343,withdrawal,1642.75,RUB,4/21/2025,2:08 AM,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,802200.29,ATM"
"122487307,152125,transfer,3484.89,CNY,5/2/2025,4:22 PM,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,784170.28,branch"
"062102292,71917,payment,416.2,NGN,11/24/2025,5:14 PM,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,456274.56,online"
"101113799,624116,transfer,6367.59,IDR,4/22/2024,9:16 AM,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,893867.13,online"
"071126531,667337,transfer,6714.57,KGS,2/4/2025,3:20 AM,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,321074.03,online"
"111924363,529362,transfer,6576.34,USD,8/19/2024,12:57 AM,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,711798.82,ATM"
"042105442,750679,transfer,2657.12,CNY,2/11/2024,10:56 AM,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,540377.95,ATM"
"122240683,20634,withdrawal,7025.97,RUB,4/15/2024,10:08 AM,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,750689.26,online"
"071000288,51667,deposit,1436.18,IDR,1/27/2025,2:40 AM,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,27710.98,online"
"113109720,904788,deposit,5789.44,PHP,1/10/2024,11:51 PM,in lectus pellentesque at nulla suspendisse potenti cras in purus,955643.27,online"
"065403477,18514,withdrawal,5048.77,VND,8/15/2025,10:45 AM,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,374811.37,ATM"
"122237748,962218,transfer,4913.09,PHP,1/8/2025,10:10 PM,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,325327.22,ATM"
"071001533,305242,payment,8375.77,COP,2/26/2024,1:25 AM,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,184470.33,ATM"
"111925074,225341,payment,3426.23,CNY,3/22/2024,4:24 AM,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,547293.86,ATM"
"073000176,302891,deposit,8060.15,CNY,8/21/2024,1:54 AM,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,923687.07,ATM"
"053112343,845548,payment,734.4,NGN,12/12/2025,2:43 AM,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,951284.56,online"
"325180414,132521,deposit,393.73,PHP,10/17/2025,10:49 PM,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,399414.88,ATM"
"103104489,853323,deposit,1505.02,CNY,11/2/2025,2:44 AM,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,936842.08,online"
"122105249,984378,deposit,2041.5,CNY,2/17/2024,11:46 AM,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,471369.17,online"
"091913216,711427,payment,3368.4,IDR,3/2/2024,6:08 PM,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,528833.53,ATM"
"071922984,725734,deposit,6318.0,HRK,4/17/2024,5:04 PM,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,705540.16,ATM"
"084202235,898645,transfer,1503.86,CNY,9/12/2025,9:33 AM,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,225173.94,ATM"
"056007387,486896,deposit,2373.03,PHP,5/4/2024,11:31 AM,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,339946.29,ATM"
"091206389,578975,withdrawal,2466.99,EUR,3/25/2024,7:18 AM,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,930637.27,branch"
"122239335,870832,deposit,1907.04,CNY,4/5/2024,7:21 PM,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,200708.18,ATM"
"265470158,881939,payment,8976.03,ILS,5/16/2024,6:39 AM,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,443006.08,branch"
"081500749,864071,deposit,7377.88,CNY,9/20/2025,7:20 PM,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,793143.79,ATM"
"251473758,658531,withdrawal,6094.02,IDR,10/2/2025,12:21 PM,nisl nunc rhoncus dui vel sem sed sagittis nam congue,270022.18,online"
"122105812,884059,transfer,2423.27,ISK,12/12/2025,9:45 AM,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,4938.06,branch"
"067091719,532941,transfer,6060.71,EUR,2/9/2025,5:45 AM,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,201276.85,branch"
"063000021,676408,deposit,4550.67,MKD,9/14/2024,5:35 PM,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,837293.14,ATM"
"011100012,8405,deposit,4788.38,YER,2/5/2025,10:07 PM,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,766531.84,ATM"
"104903362,35156,transfer,9846.44,USD,1/27/2025,1:28 PM,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,264364.83,branch"
"241272079,650465,deposit,8292.76,DOP,6/18/2025,6:50 AM,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,211140.62,online"
"072400528,427236,deposit,4015.52,USD,2/14/2024,8:40 PM,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,526177.6,online"
"053112453,150403,payment,8459.71,PLN,5/26/2025,7:17 AM,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,340620.23,ATM"
"021912410,377833,withdrawal,9243.31,ALL,7/4/2024,7:44 AM,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,320853.01,online"
"074912645,510037,deposit,477.22,CNY,11/3/2025,11:35 AM,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,171483.88,online"
"063114108,672967,withdrawal,6644.58,CAD,5/22/2024,5:00 AM,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,487730.04,branch"
"314088048,363596,withdrawal,3288.91,RUB,6/13/2025,4:23 PM,ac diam cras pellentesque volutpat dui maecenas tristique est et,998731.01,ATM"
"101104795,546656,withdrawal,9196.82,EUR,6/24/2025,11:48 AM,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,473531.39,online"
"103103600,905690,transfer,9043.11,CNY,12/15/2025,10:50 AM,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,982617.98,ATM"
"075908001,70781,deposit,6710.51,RUB,4/17/2025,1:40 PM,eget eleifend luctus ultricies eu nibh quisque id justo sit amet,869239.45,ATM"
"221278721,674296,payment,4468.26,IDR,10/7/2025,2:15 PM,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,322719.64,branch"
"041002957,823250,withdrawal,5749.54,CNY,6/6/2024,11:08 AM,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,214567.76,ATM"
"322275157,284427,transfer,3235.26,CNY,1/23/2025,6:16 PM,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,165770.04,online"
"062201779,823816,transfer,33.91,MYR,9/18/2024,7:12 PM,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,944390.56,ATM"
"113107612,926221,deposit,6855.42,RSD,5/15/2024,7:24 AM,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,144964.82,branch"
"061120246,783592,deposit,7507.89,USD,2/9/2025,8:44 AM,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,326748.53,branch"
"067005475,938546,deposit,9064.51,VEF,5/12/2024,3:05 PM,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,784823.42,branch"
"084301372,201020,deposit,7969.59,BGN,1/24/2024,11:54 PM,elit proin risus praesent lectus vestibulum quam sapien varius ut,518122.76,ATM"
"102104749,55925,transfer,8715.31,IDR,10/15/2024,5:18 PM,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,865539.01,online"
"221572838,674783,payment,8192.3,IDR,9/6/2025,6:27 PM,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,914186.78,online"
"074905403,450243,deposit,8616.59,CNY,6/13/2024,12:36 AM,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,365210.0,ATM"
"321170538,179078,withdrawal,3517.18,CNY,11/6/2025,9:08 AM,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,646035.27,online"
"111103317,700203,withdrawal,9517.83,HRK,12/21/2025,2:40 AM,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,546479.15,ATM"
"107005924,836927,deposit,9592.93,EUR,10/24/2025,4:52 AM,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,558164.87,branch"
"242170031,637760,transfer,8171.86,JPY,11/4/2025,5:25 PM,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,761242.22,branch"
"101205063,406973,deposit,6914.26,AFN,8/8/2024,11:08 PM,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,418989.9,branch"
"031302447,993457,transfer,9128.55,EUR,8/19/2024,2:05 AM,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,167436.48,online"
"241270110,117252,payment,3336.96,MKD,3/14/2024,2:54 AM,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,14320.79,branch"
"111304404,270304,payment,4281.5,CNY,2/22/2024,1:56 AM,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,616660.58,branch"
"083902387,309013,payment,1823.81,AFN,8/21/2024,9:11 AM,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,67293.89,branch"
"113122804,610225,deposit,4915.38,PLN,7/11/2024,5:37 AM,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,227551.22,branch"
"065302963,967493,transfer,5974.87,USD,12/29/2025,6:22 AM,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,358908.84,branch"
"031318907,81147,withdrawal,3179.92,AFN,6/27/2024,10:08 PM,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,965318.42,branch"
"221371246,360238,payment,4701.73,PLN,11/19/2024,5:27 AM,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,651428.65,ATM"
"322285846,606176,withdrawal,357.55,TZS,8/27/2024,9:12 PM,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,466111.86,branch"
"043300738,891467,withdrawal,9714.41,CNY,8/22/2024,4:45 PM,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,988171.23,branch"
"101105600,240164,deposit,4936.59,PLN,8/10/2024,11:25 AM,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,713788.01,online"
"114903080,66216,transfer,2756.24,CNY,5/28/2025,5:36 PM,morbi ut odio cras mi pede malesuada in imperdiet et,668054.87,branch"
"111907102,749991,deposit,2745.41,IDR,11/12/2024,8:43 PM,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,134609.09,ATM"
"091905295,492708,deposit,3815.24,IDR,9/23/2024,9:12 PM,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,341392.07,ATM"
"122237515,699041,payment,5175.91,RSD,9/30/2025,7:57 PM,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,328676.9,online"
"031317380,199485,deposit,6772.06,THB,9/8/2024,3:54 PM,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,843767.92,online"
"042206804,804565,withdrawal,2049.64,SAR,5/12/2024,4:26 AM,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,846046.4,branch"
"261170740,7965,withdrawal,9430.33,JPY,5/24/2024,3:40 PM,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,502088.92,branch"
"063212987,675088,withdrawal,5255.04,PKR,7/27/2025,1:37 PM,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,118009.87,branch"
"056008852,873947,deposit,3783.42,CNY,8/4/2024,9:55 AM,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,182353.53,ATM"
"104904442,450009,transfer,3537.77,EUR,6/11/2024,11:17 PM,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,464935.81,online"
"073908980,982516,payment,3223.55,USD,11/29/2025,10:13 AM,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,937480.6,ATM"
"064207946,405218,deposit,7594.05,ARS,2/17/2025,6:04 AM,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,609169.77,ATM"
"063015537,821639,withdrawal,7313.56,PLN,4/22/2025,7:02 AM,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,951243.13,online"
"104905250,629980,withdrawal,4745.28,PHP,8/28/2025,7:04 AM,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,432340.67,online"
"074912603,721739,transfer,8824.62,CNY,8/11/2025,2:54 PM,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,323500.63,branch"
"062203049,792577,transfer,3957.05,EUR,9/6/2025,3:05 AM,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,268142.67,branch"
"101104436,912179,deposit,8178.73,SEK,8/20/2025,12:51 PM,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,978341.67,branch"
"064101178,854217,deposit,9953.6,EUR,9/1/2024,2:27 PM,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,363411.86,online"
"067007949,866404,deposit,4011.36,PHP,7/16/2025,9:55 AM,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,891859.12,ATM"
"071105154,810289,withdrawal,3485.5,EUR,9/20/2025,5:18 AM,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,343024.58,online"
"262286950,954145,transfer,2332.73,IDR,11/15/2025,12:20 PM,tristique in tempus sit amet sem fusce consequat nulla nisl nunc,770659.59,ATM"
"051501451,97581,payment,1430.64,IDR,8/25/2024,8:45 PM,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,57748.27,branch"
"122105155,574242,withdrawal,5530.34,CAD,8/28/2024,10:21 PM,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,876776.16,online"
"071123398,966427,payment,4811.3,PLN,9/15/2025,2:22 PM,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,507297.79,ATM"
"056004720,473307,payment,8536.51,PHP,12/30/2025,4:32 PM,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,432148.4,ATM"
"052173464,282480,payment,4910.58,THB,10/17/2025,4:51 PM,quisque ut erat curabitur gravida nisi at nibh in hac habitasse,60752.81,online"
"042207735,628454,transfer,2103.1,CNY,9/27/2024,4:03 PM,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,514233.57,online"
"111916423,499607,withdrawal,7029.56,MXN,6/30/2025,10:26 AM,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,630726.29,ATM"
"103000017,165337,payment,9197.51,IDR,8/2/2025,4:49 PM,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,897638.2,ATM"
"081025208,58566,payment,6486.93,THB,10/19/2024,5:48 PM,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,223390.21,ATM"
"044115511,765020,payment,8164.92,COP,8/31/2025,5:40 AM,sit amet lobortis sapien sapien non mi integer ac neque duis,921023.94,branch"
"075904092,691810,transfer,2945.35,JPY,11/28/2024,11:41 PM,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,251278.21,online"
"221271469,159531,withdrawal,8729.35,CNY,11/17/2024,6:31 PM,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,793169.4,online"
"111905609,671980,payment,1824.25,BRL,11/20/2025,8:52 PM,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,535987.26,ATM"
"051900366,659218,withdrawal,4313.63,UAH,5/27/2024,11:37 AM,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,642270.16,ATM"
"081220537,366753,payment,6668.58,PKR,12/15/2024,5:30 AM,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,934993.48,branch"
